sweep,kv,mas,noise_sd,contrast,radius_mm,denoiser,method,ceiling_d_prime,ceiling_auc,d_prime_ideal,auc_ideal,d_prime_cho,auc_cho,d_prime_npwe,auc_npwe,ssim,psnr,rmse,excess,margin,bound_ok,efficiency,false_structure_rate,contrast_recovery,level,auc_se_cho,auc_se_ideal,auc_se_npwe,contrast_scale,estimator_d_prime_ratio,false_structure_mean_amplitude,n_trials,params,pixel_sd,processed_auc_se,raw_estimated_auc,raw_estimated_d_prime,raw_false_structure_rate,reason,saturated,seed
signal,120.0,25.0,60.0,10.0,1.5,raw,none,0.8426561840065284,0.7243615801373218,0.62200083013479,0.6683736111111112,0.8485490425808179,0.7213444444444445,0.6642372626430351,0.68295,0.016850471041255925,16.476606076654377,60.014480778298896,-0.055987969026210616,0.021475526340384812,True,0.5448552049596577,1.0,1.0380193238102342,red,0.010331968248436763,0.010956748218503556,0.010803434789920675,0.5,0.7381430789214634,4.011485573733923,1200,{},60.0,0.010956748218503556,0.6683736111111112,0.62200083013479,1.0,"raw: input ideal d'=0.84 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263101
signal,120.0,25.0,60.0,10.0,1.5,gaussian(1.5 px),gaussian,0.8426561840065284,0.7243615801373218,0.28490488771684896,0.5823534722222222,0.8331005942686363,0.7173666666666667,0.7024512265257462,0.6951069444444444,0.3241798738010738,30.4995458423424,11.951780146628243,-0.14200810791509955,0.022719458352220993,True,0.1143138825082919,1.0,0.6777689593579487,red,0.010385501389222986,0.011591419070441733,0.010664922931529215,0.5,0.7381430789214634,2.6837284716096623,1200,"{""sigma"": 1.5}",60.0,0.011591419070441733,0.6683736111111112,0.62200083013479,1.0,"gaussian(1.5 px): input ideal d'=0.84 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263101
signal,120.0,25.0,60.0,10.0,1.5,TV(0.4 sd),tv,0.8426561840065284,0.7243615801373218,0.6083540265965733,0.6625979166666667,0.8411550233852352,0.7193527777777777,0.6894601581419072,0.6922173611111111,0.10238636355884803,23.8019385738716,25.828150116704435,-0.061763663470655095,0.02158716718656017,True,0.5212090515538589,1.0,0.835434600338481,red,0.010358910931222213,0.011013708880564679,0.010698734288889395,0.5,0.7381430789214634,3.2483327222995397,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.011013708880564679,0.6683736111111112,0.62200083013479,1.0,"TV(0.4 sd): input ideal d'=0.84 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263101
signal,120.0,25.0,60.0,10.0,1.5,NLM(0.6 sd),nlm,0.8426561840065284,0.7243615801373218,0.5071636780759029,0.6369180555555556,0.7354616921261736,0.6887527777777778,0.6153087062813272,0.6677076388888888,0.2746336754034507,28.634777517883425,14.813717962798297,-0.08744352458176619,0.022033569892541762,True,0.3622392124769179,1.0,0.35777766632959085,red,0.010738541008361852,0.011241469548364066,0.010963424978739849,0.5,0.7381430789214634,1.7680936409588848,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.011241469548364066,0.6683736111111112,0.62200083013479,1.0,"NLM(0.6 sd): input ideal d'=0.84 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263101
signal,120.0,25.0,60.0,20.0,1.5,raw,none,1.6853123680130568,0.8833097279993577,1.4528335080782135,0.8479048611111111,1.4947855216858166,0.8538861111111111,1.3636914071211244,0.8324256944444445,0.01733281364241557,16.48026959676003,59.98927173231591,-0.03540486688824662,0.015623436411115112,True,0.743140413486695,1.0,0.9989877064257919,red,0.007821672261143223,0.007970933185456908,0.008338444478901494,1.0,0.8620559224822337,2.018401914176185,1200,{},60.0,0.007970933185456908,0.8479048611111111,1.4528335080782135,1.0,"raw: input ideal d'=1.69 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263201
signal,120.0,25.0,60.0,20.0,1.5,gaussian(1.5 px),gaussian,1.6853123680130568,0.8833097279993577,0.869020545391797,0.7360291666666666,1.4866608925750096,0.8523861111111111,1.4452330044393025,0.84625625,0.3253059240044306,30.485646393872806,11.970686210833032,-0.14728056133269107,0.019844566357380536,True,0.26588832762122283,1.0,0.6612096924358479,red,0.007859501040290385,0.010124610487469168,0.00801134206316496,1.0,0.8620559224822337,1.3422524446044386,1200,"{""sigma"": 1.5}",60.0,0.010124610487469168,0.8479048611111111,1.4528335080782135,1.0,"gaussian(1.5 px): input ideal d'=1.69 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263201
signal,120.0,25.0,60.0,20.0,1.5,TV(0.4 sd),tv,1.6853123680130568,0.8833097279993577,1.4549218714962915,0.84823125,1.488239132710815,0.8525861111111112,1.4309926857977497,0.8436902777777778,0.10381852991191165,23.804438483303194,25.82096751896884,-0.035078477999357704,0.015607683974045123,True,0.7452783909799294,1.0,0.8120388286497895,red,0.007854472708134476,0.007962896080084441,0.008073621085706357,1.0,0.8620559224822337,1.6283404913129425,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.007962896080084441,0.8479048611111111,1.4528335080782135,1.0,"TV(0.4 sd): input ideal d'=1.69 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263201
signal,120.0,25.0,60.0,20.0,1.5,NLM(0.6 sd),nlm,1.6853123680130568,0.8833097279993577,1.2173972110640296,0.8042465277777778,1.3676011346615997,0.8369305555555555,1.3469210428983653,0.8299520833333334,0.2743654367075736,28.626291797649664,14.828087456571971,-0.07906320022157987,0.017531224920043928,True,0.5217996567455571,1.0,0.360485771457683,red,0.008234183465992941,0.00894431255567861,0.00839478601422302,1.0,0.8620559224822337,0.8900288857363059,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.00894431255567861,0.8479048611111111,1.4528335080782135,1.0,"NLM(0.6 sd): input ideal d'=1.69 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20263201
signal,120.0,25.0,60.0,10.0,3.0,raw,none,1.7329276368170845,0.8897811140599974,1.6020672765997699,0.8700930555555556,1.63592740331905,0.87505,1.1737639658724517,0.7958034722222223,0.017172996865876665,16.481492228811046,59.98061841939391,-0.019688058504441774,0.014494775547298262,True,0.8546742973499284,1.0,1.0123649643842492,red,0.007257667469700375,0.007395075224433348,0.009111308812327848,0.5,0.9244859638468982,1.7734379001343432,1200,{},60.0,0.007395075224433348,0.8700930555555556,1.6020672765997699,1.0,"raw: input ideal d'=1.73 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266101
signal,120.0,25.0,60.0,10.0,3.0,gaussian(1.5 px),gaussian,1.7329276368170845,0.8897811140599974,1.1060029960185533,0.7836993055555556,1.629634136610455,0.8741611111111112,1.4287628803274917,0.8435034722222222,0.32669600449698927,30.474092967695967,11.986741053924815,-0.10608180850444182,0.01830642716563829,True,0.4073350214009892,1.0,0.8389036289076635,red,0.0072825602627724015,0.009339831173219064,0.008078126090938147,0.5,0.9244859638468982,1.3753143089934268,1200,"{""sigma"": 1.5}",60.0,0.009339831173219064,0.8700930555555556,1.6020672765997699,1.0,"gaussian(1.5 px): input ideal d'=1.73 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266101
signal,120.0,25.0,60.0,10.0,3.0,TV(0.4 sd),tv,1.7329276368170845,0.8897811140599974,1.5934793027886869,0.8688131944444445,1.6340378387219456,0.8751027777777778,1.3348670721817526,0.8258277777777778,0.10382185062515337,23.806498687017903,25.81444423822826,-0.020967919615552888,0.0145632352679558,True,0.8455357954198985,1.0,0.914073657188812,red,0.007256185937459554,0.007430004295170127,0.00848732352879874,0.5,0.9244859638468982,1.532055913168465,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.007430004295170127,0.8700930555555556,1.6020672765997699,1.0,"TV(0.4 sd): input ideal d'=1.73 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266101
signal,120.0,25.0,60.0,10.0,3.0,NLM(0.6 sd),nlm,1.7329276368170845,0.8897811140599974,1.3873971731169588,0.8382027777777777,1.5237872549558291,0.8602944444444445,1.4786545394386308,0.8556027777777778,0.2760830887639903,28.629337048614445,14.82241272815163,-0.05157833628221964,0.016080917539027347,True,0.640974503599021,1.0,0.6104741422345352,red,0.007656980840097275,0.008204346213206799,0.007778047677837931,0.5,0.9244859638468982,1.098971338536185,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.008204346213206799,0.8700930555555556,1.6020672765997699,1.0,"NLM(0.6 sd): input ideal d'=1.73 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266101
signal,120.0,25.0,60.0,20.0,3.0,raw,none,3.465855273634169,0.9928716529681852,3.4354608410434793,0.9925819444444445,3.4863984838008992,0.9941861111111111,2.490112403958192,0.9610590277777777,0.018685221855790083,16.480245432607635,59.98940625534376,-0.0002897085237407726,0.0034539131491756873,True,0.9825375524841256,1.0,1.0065293343142667,red,0.0015592242177883465,0.0017618786528578031,0.00405772662933111,1.0,0.9912303226214004,0.8935809166143642,1200,{},60.0,0.0017618786528578031,0.9925819444444445,3.4354608410434793,1.0,"raw: input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266201
signal,120.0,25.0,60.0,20.0,3.0,gaussian(1.5 px),gaussian,3.465855273634169,0.9928716529681852,3.017959030637269,0.9820909722222222,3.476532050602075,0.99405,2.8901658518611058,0.9800951388888889,0.3362492201021332,30.474710448102627,11.985695799534593,-0.010780680745963056,0.0053775942399791185,True,0.7582385005504414,0.9766666666666667,0.8308120500715683,red,0.0015774190027613997,0.002743366632217211,0.002893225600440089,1.0,0.9912303226214004,0.6951459866922921,1200,"{""sigma"": 1.5}",60.0,0.002743366632217211,0.9925819444444445,3.4354608410434793,1.0,"gaussian(1.5 px): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266201
signal,120.0,25.0,60.0,20.0,3.0,TV(0.4 sd),tv,3.465855273634169,0.9928716529681852,3.4130410171915644,0.9917173611111111,3.488908937259183,0.99395,2.7483265115289717,0.9745777777777778,0.10951126937678098,23.81165822798818,25.799633710153092,-0.0011542918570741634,0.0036502973486041788,True,0.969755313683834,0.9966666666666667,0.9084487726889868,red,0.001590655318885586,0.0018620765141335945,0.003272697976285664,1.0,0.9912303226214004,0.7730449968850691,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.0018620765141335945,0.9925819444444445,3.4354608410434793,1.0,"TV(0.4 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266201
signal,120.0,25.0,60.0,20.0,3.0,NLM(0.6 sd),nlm,3.465855273634169,0.9928716529681852,2.9593857115293605,0.9815229166666667,3.2732771156189173,0.9921916666666667,2.9854426644118646,0.9846284722222223,0.28200083833692235,28.599636421823185,14.873388155402068,-0.011348736301518558,0.005462765607632296,True,0.7290919414383558,0.6508333333333334,0.6305849942445524,red,0.001807787518327184,0.002786822210138539,0.002540390802246113,1.0,0.9912303226214004,0.5495700908773934,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.002786822210138539,0.9925819444444445,3.4354608410434793,1.0,"NLM(0.6 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20266201
signal,120.0,25.0,60.0,10.0,5.0,raw,none,2.911006412451428,0.9802237584170569,2.833697655515069,0.9772326388888889,2.8502610280896468,0.9761833333333333,1.3986364703052014,0.8405486111111111,0.01796152097408245,16.485674572370595,59.95185848215806,-0.002991119528167996,0.00606831785590737,True,0.9475904986793771,1.0,0.9859166032791213,red,0.003166861407765746,0.003095783116079461,0.008148868763613589,0.5,0.9734426016357498,0.9744235227670646,1200,{},60.0,0.003095783116079461,0.9772326388888889,2.833697655515069,1.0,"raw: input ideal d'=2.91 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20269101
signal,120.0,25.0,60.0,10.0,5.0,gaussian(1.5 px),gaussian,2.911006412451428,0.9802237584170569,2.140381231354355,0.9345381944444444,2.8431082326633397,0.9759361111111111,1.8496338170362345,0.9054625,0.33860954531575754,30.505705785650097,11.943535736424307,-0.045685563972612475,0.010330888016145323,True,0.5406247747895051,0.9966666666666667,0.881243201626543,red,0.003183382021124548,0.0052706037729183435,0.006331228193945674,0.5,0.9734426016357498,0.7970462792205949,1200,"{""sigma"": 1.5}",60.0,0.0052706037729183435,0.9772326388888889,2.833697655515069,1.0,"gaussian(1.5 px): input ideal d'=2.91 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20269101
signal,120.0,25.0,60.0,10.0,5.0,TV(0.4 sd),tv,2.911006412451428,0.9802237584170569,2.8498323277558737,0.9783381944444445,2.842051197137046,0.97615,1.6379609465532323,0.8783861111111111,0.10837311125600839,23.822649807683348,25.767120835772463,-0.001885563972612414,0.005918073787789608,True,0.9584121111824908,1.0,0.9269134701718709,red,0.0031690938155999365,0.003019126570702675,0.007163232690783759,0.5,0.9734426016357498,0.8661930253553801,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.003019126570702675,0.9772326388888889,2.833697655515069,1.0,"TV(0.4 sd): input ideal d'=2.91 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20269101
signal,120.0,25.0,60.0,10.0,5.0,NLM(0.6 sd),nlm,2.911006412451428,0.9802237584170569,2.614767273583515,0.9683819444444445,2.6785607113841414,0.9702083333333333,2.1554803758347245,0.9381388888888889,0.2847548362664229,28.642264292371166,14.800631793115311,-0.011841813972612414,0.007160572038201946,True,0.8068257626555911,0.9166666666666666,0.7405178980913452,red,0.0035450963901916743,0.003653065898268388,0.005122991355608237,0.5,0.9734426016357498,0.6894939271837457,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.003653065898268388,0.9772326388888889,2.833697655515069,1.0,"NLM(0.6 sd): input ideal d'=2.91 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20269101
signal,120.0,25.0,60.0,20.0,5.0,raw,none,5.822012824902856,0.9999807902708996,5.753363843846411,0.9999409722222222,5.5547603821976805,0.9999694444444445,2.9922051362235287,0.9830777777777778,0.020967940733763898,16.481725113391615,59.97911412236682,-3.9818048677364715e-05,0.0003082035227457855,True,0.9765564750735088,0.37416666666666665,1.0168395160075527,amber,0.00011288172882808392,0.00015689526987584131,0.002666230486491207,1.0,0.9882087203994452,0.4882188757357407,1200,{},60.0,0.00015689526987584131,0.9999409722222222,5.753363843846411,0.37416666666666665,raw: input ideal d'=5.82 is within 1.2x of the floor (5): marginal — small dose changes cross it.,False,20269201
signal,120.0,25.0,60.0,20.0,5.0,gaussian(1.5 px),gaussian,5.822012824902856,0.9999807902708996,5.49572823343671,0.9998784722222223,5.557514944198004,0.9999694444444445,3.9085692468832476,0.9975673611111111,0.3571756941535739,30.47941667392967,11.979235820985325,-0.00010231804867733008,0.0004419338039751324,True,0.8910543227769404,0.10166666666666667,0.9068562059208977,amber,0.00011288172882808392,0.00022512625895737255,0.0010077943801586695,1.0,0.9882087203994452,0.3991748711557624,1200,"{""sigma"": 1.5}",60.0,0.00022512625895737255,0.9999409722222222,5.753363843846411,0.37416666666666665,gaussian(1.5 px): input ideal d'=5.82 is within 1.2x of the floor (5): marginal — small dose changes cross it.,False,20269201
signal,120.0,25.0,60.0,20.0,5.0,TV(0.4 sd),tv,5.822012824902856,0.9999807902708996,5.7180554534309005,0.9999298611111112,5.531329083582072,0.9999611111111111,3.465121640341057,0.9934125,0.11910012681164256,23.804933965295657,25.819143385678895,-5.0929159788437595e-05,0.00033589934927207195,True,0.9646070018982921,0.18,0.9558590512148217,amber,0.00012734802887164255,0.00017102605327020345,0.0016600117174841603,1.0,0.9882087203994452,0.43408509246512095,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.00017102605327020345,0.9999409722222222,5.753363843846411,0.37416666666666665,TV(0.4 sd): input ideal d'=5.82 is within 1.2x of the floor (5): marginal — small dose changes cross it.,False,20269201
signal,120.0,25.0,60.0,20.0,5.0,NLM(0.6 sd),nlm,5.822012824902856,0.9999807902708996,5.180700824308437,0.9997430555555555,5.117017190244277,0.9998694444444445,4.376622242846081,0.9991069444444445,0.29529180794087506,28.567422572486617,14.92848800407089,-0.00023773471534405122,0.0006423037726443209,True,0.7918277378534271,0.03833333333333333,0.7743706053067617,amber,0.0002333388365856112,0.00032735771333596383,0.0006103940718099297,1.0,0.9882087203994452,0.3452146265231482,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.00032735771333596383,0.9999409722222222,5.753363843846411,0.37416666666666665,NLM(0.6 sd): input ideal d'=5.82 is within 1.2x of the floor (5): marginal — small dose changes cross it.,False,20269201
