sweep,kv,mas,relative_dose,noise_sd,correlation_sigma_mm,contrast,radius_mm,denoiser,method,ceiling_d_prime,ceiling_auc,d_prime_ideal,auc_ideal,d_prime_cho,auc_cho,d_prime_npwe,auc_npwe,ssim,psnr,rmse,excess,margin,bound_ok,efficiency,false_structure_rate,contrast_recovery,level,auc_se_cho,auc_se_ideal,auc_se_npwe,contrast_scale,estimator_d_prime_ratio,false_structure_mean_amplitude,n_trials,params,pixel_sd,raw_estimated_auc,raw_estimated_d_prime,raw_false_structure_rate,realisation_seed,reason,saturated,seed,white_floor_sd
atlas_demo,120.0,12.0,0.12,86.60254037844388,,20.0,,gaussian(1.5 px),gaussian,2.4012149702459653,0.9552381337941949,0.8650671478648425,0.74043125,2.0950282145910917,0.928425,1.7219459475937724,0.88645,0.19550018350684314,27.29101938133052,17.292610693600345,-0.21480688379419488,0.03417211134948208,True,0.12978890076282934,1.0,0.7842649121281252,red,0.0095533321021999,0.017431882227927676,0.012007352662651141,,0.7074793760585258,1.0029148565492756,400,"{""sigma"": 1.5}",86.60254037844388,0.88680625,1.6988100689320071,1.0,20260101,"gaussian(1.5 px): input ideal d'=2.40 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20272101,
atlas_demo,80.0,12.0,0.12,129.9038105676658,,36.742346141747674,,gaussian(1.5 px),gaussian,2.9408758377279614,0.9812148992675147,1.406984265213428,0.84228125,2.8502014255399937,0.9783,2.2950707002193225,0.94759375,0.10143469921834751,23.78703709882145,25.88587717876589,-0.13893364926751472,0.027544961506929918,True,0.2288890954130434,1.0,0.8171398034980007,red,0.005238012857092666,0.014050621197201461,0.008168880381592324,,0.8307052099177419,0.8173734899222783,400,"{""sigma"": 1.5}",129.9038105676658,0.96150625,2.4430008801218213,1.0,20260101,"gaussian(1.5 px): input ideal d'=2.94 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20276101,
atlas_demo,120.0,12.0,0.12,86.60254037844388,,20.0,,raw,none,2.4012149702459653,0.9552381337941949,1.6988100689320071,0.88680625,2.0991304874333143,0.928775,1.3301430196089836,0.82770625,0.006940620797926695,13.293236517579194,86.58183738954862,-0.06843188379419485,0.023504171030019748,True,0.500527067548161,1.0,0.9482493161904434,red,0.009529917443699878,0.011988955519268901,0.014635972495101143,,0.7074793760585258,1.2930692728643658,400,{},86.60254037844388,0.88680625,1.6988100689320071,1.0,20260101,"raw: input ideal d'=2.40 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20272101,
atlas_demo,80.0,12.0,0.12,129.9038105676658,,36.742346141747674,,raw,none,2.9408758377279614,0.9812148992675147,2.4430008801218213,0.96150625,2.86765836617813,0.978575,1.7978783586629494,0.90035,0.0030372603167020383,9.773520124032238,129.8396080537247,-0.0197086492675147,0.013711458774528392,True,0.6900711457844796,1.0,0.9895482143157285,red,0.00520447769735051,0.006992581946726232,0.011262291429778245,,0.8307052099177419,1.0527982454339126,400,{},129.9038105676658,0.96150625,2.4430008801218213,1.0,20260101,"raw: input ideal d'=2.94 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20276101,
atlas_demo,120.0,200.0,2.0,21.213203435596427,,20.0,,gaussian(1.5 px),gaussian,9.802919066391512,0.9999999999979211,8.562455884235181,1.0,9.598226085567763,1.0,8.106056861495137,1.0,0.7574914330135024,39.320123912552354,4.3294542429270875,2.0788926136106056e-12,6.25e-06,True,0.762932050209872,0.0,0.8239367616213857,green,0.0,0.0,0.0,,0.9482514723458005,0.24566396157480874,400,"{""sigma"": 1.5}",21.213203435596427,1.0,9.295632437992472,0.0,20260101,gaussian(1.5 px): input ideal d'=9.80 meets the floor and the processed task d'=8.56 follows it; no excess false structure or erasure.,True,20264101,
atlas_demo,120.0,200.0,2.0,21.213203435596427,,20.0,,raw,none,9.802919066391512,0.9999999999979211,9.295632437992472,1.0,9.651956183262415,1.0,7.057924426288012,1.0,0.1946915741797247,25.514693458314277,21.20076036029731,2.0788926136106056e-12,6.25e-06,True,0.8991808548059785,0.0,0.9932759850627304,green,0.0,0.0,0.0,,0.9482514723458005,0.3155135087372677,400,{},21.213203435596427,1.0,9.295632437992472,0.0,20260101,raw: input ideal d'=9.80 meets the floor and the processed task d'=9.30 follows it; no excess false structure or erasure.,True,20264101,
atlas_demo,120.0,50.0,0.5,42.42640687119285,,20.0,,gaussian(1.5 px),gaussian,4.901459533195756,0.9997357261459661,3.370491494123343,0.99045625,4.74291164671232,0.999625,4.022008452679195,0.99801875,0.48616162776826116,33.458114661936285,8.50169162545733,-0.009279476145966026,0.00679907485903283,True,0.47286332109319956,0.41,0.8236070162548284,red,0.0006855716013074829,0.003465790653610865,0.0015764327766313567,,0.9189690396057771,0.4937811848242617,400,"{""sigma"": 1.5}",42.42640687119285,0.99901875,4.504289559887485,0.9575,20260101,"gaussian(1.5 px): input ideal d'=4.90 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20268101,
atlas_demo,120.0,50.0,0.5,42.42640687119285,,20.0,,raw,none,4.901459533195756,0.9997357261459661,4.504289559887485,0.99901875,4.791118738023207,0.999675,3.4640513716810952,0.9925375,0.04433919636652003,19.491176942889197,42.415820918903115,-0.0007169761459661084,0.0021801484983714047,True,0.8445040957539643,0.9575,0.9932435614708692,red,0.0006382246116972678,0.0011091522678573886,0.003063313319503275,,0.9189690396057771,0.6367670632740302,400,{},42.42640687119285,0.99901875,4.504289559887485,0.9575,20260101,"raw: input ideal d'=4.90 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20268101,
dose,120.0,100.0,1.0,30.0,0.0,20.0,,NLM(0.6 sd),nlm,6.931710547268338,0.9999995243637675,5.8739750027325135,0.99999375,5.875634136542755,1.0,5.475286761749826,0.9999965277777778,0.6111560136295365,34.48919411305895,7.5492885272833,-5.774363767474533e-06,0.00010075525915850293,True,0.718097392096055,0.0008333333333333334,0.6819990076585336,green,0.0,5.105237417795706e-05,3.805216673450637e-05,,0.995213327945324,0.27506605434314496,1200,"{""h"": 18.0, ""patch_distance"": 6, ""patch_size"": 5}",30.0,0.9999993055555556,6.898530722100626,0.1775,20260101,NLM(0.6 sd): input ideal d'=6.93 meets the floor and the processed task d'=5.87 follows it; no excess false structure or erasure.,True,20261101,
dose,120.0,100.0,1.0,30.0,0.0,20.0,,TV(0.4 sd),tv,6.931710547268338,0.9999995243637675,6.825640308230372,1.0,6.7215117311311285,1.0,5.526094355943394,0.9999833333333333,0.36299254156598676,29.81246947021016,12.929042804780792,4.756362325109009e-07,6.944444444444445e-07,True,0.969629809061547,0.04,0.9157909992887568,green,0.0,0.0,8.33683939114832e-05,,0.995213327945324,0.38427283905408216,1200,"{""max_num_iter"": 200, ""weight"": 12.0}",30.0,0.9999993055555556,6.898530722100626,0.1775,20260101,TV(0.4 sd): input ideal d'=6.93 meets the floor and the processed task d'=6.83 follows it; no excess false structure or erasure.,True,20261101,
dose,120.0,100.0,1.0,30.0,0.0,20.0,,gaussian(1.5 px),gaussian,6.931710547268338,0.9999995243637675,6.349511133226531,0.9999986111111111,6.712344942370364,1.0,5.865594347897872,0.9999930555555555,0.6338118358369051,36.41696211139162,6.0469974076500055,-9.132526563870869e-07,4.78635078247818e-05,True,0.8390729866829517,0.008333333333333333,0.832703089294515,green,0.0,2.406629088718002e-05,5.381393675027089e-05,,0.995213327945324,0.3443596149375323,1200,"{""sigma"": 1.5}",30.0,0.9999993055555556,6.898530722100626,0.1775,20260101,gaussian(1.5 px): input ideal d'=6.93 meets the floor and the processed task d'=6.35 follows it; no excess false structure or erasure.,True,20261101,
dose,120.0,100.0,1.0,30.0,0.0,20.0,,raw,none,6.931710547268338,0.9999995243637675,6.898530722100626,0.9999993055555556,6.738503387223337,1.0,5.020091374418845,0.9998916666666666,0.09787498440488511,22.50224114981602,29.989892312900956,-2.1880821188258182e-07,3.404800325296122e-05,True,0.9904495681200071,0.1775,1.0058568353362118,green,0.0,1.7017434540433082e-05,0.0002125533756036305,,0.995213327945324,0.4443664706249503,1200,{},30.0,0.9999993055555556,6.898530722100626,0.1775,20260101,raw: input ideal d'=6.93 meets the floor and the processed task d'=6.90 follows it; no excess false structure or erasure.,True,20261101,
dose,120.0,12.500000000000002,0.12500000000000003,84.85281374238569,0.0,20.0,,NLM(0.6 sd),nlm,2.450729766597878,0.9584457342995427,1.9477356519248128,0.91699375,2.2274895891455375,0.9482444444444444,2.049209354373676,0.9302520833333333,0.1540798887689684,25.598683207556427,21.011816062036242,-0.041451984299542666,0.01163352266467899,True,0.6316393472445988,0.9966666666666667,0.6186727857651273,red,0.004683355415702356,0.0059352255000565375,0.0054409109271000835,,0.9207025672041795,0.7893870408744643,1200,"{""h"": 50.911688245431414, ""patch_distance"": 6, ""patch_size"": 5}",84.85281374238569,0.94533125,2.256393187630366,1.0,20260101,"NLM(0.6 sd): input ideal d'=2.45 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20264101,
