sweep,kv,mas,noise_sd,correlation_sigma_mm,denoiser,method,ceiling_d_prime,ceiling_auc,d_prime_ideal,auc_ideal,d_prime_cho,auc_cho,d_prime_npwe,auc_npwe,ssim,psnr,rmse,excess,margin,bound_ok,efficiency,false_structure_rate,contrast_recovery,level,auc_se_cho,auc_se_ideal,auc_se_npwe,estimator_d_prime_ratio,false_structure_mean_amplitude,n_trials,params,pixel_sd,processed_auc_se,raw_estimated_auc,raw_estimated_d_prime,raw_false_structure_rate,reason,saturated,seed,white_floor_sd
texture,120.0,25.0,60.0,0.0,raw,none,3.465855273634169,0.9928716529681852,3.3518465775402353,0.9901111111111112,3.4396000812751866,0.9910194444444445,2.4219316079559063,0.9558131944444445,0.018695898451533938,16.481370864837384,59.981498537635055,-0.0027605418570740836,0.003989882575147761,True,0.9352924231993173,1.0,1.0114120070742683,red,0.001939234094309542,0.0020353374664889372,0.004324716699019714,0.9671051769064817,0.8968094495109188,1200,{},60.0,0.0020353374664889372,0.9901111111111112,3.3518465775402353,1.0,"raw: input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101,0.0
texture,120.0,25.0,60.0,0.0,gaussian(1.5 px),gaussian,3.465855273634169,0.9928716529681852,2.6242970725580563,0.9672048611111111,3.4174890794116544,0.9908916666666666,2.7694939098327875,0.9748777777777777,0.3357733068398753,30.477897871627327,11.981242516970497,-0.0256667918570741,0.0072937680128505305,True,0.5733306304409866,0.9841666666666666,0.8360723189949489,red,0.0019530348674902725,0.003721024276942291,0.00325317800526207,0.9671051769064817,0.6964523186207642,1200,"{""sigma"": 1.5}",60.0,0.003721024276942291,0.9901111111111112,3.3518465775402353,1.0,"gaussian(1.5 px): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101,0.0
texture,120.0,25.0,60.0,0.0,TV(0.4 sd),tv,3.465855273634169,0.9928716529681852,3.334489030800218,0.9894465277777778,3.405499386961611,0.9904666666666667,2.63765663101423,0.9684979166666666,0.10932090440961725,23.807332577481194,25.811966849070803,-0.0034251251904074964,0.004122325423536369,True,0.9256306760513856,1.0,0.9122818271132163,red,0.001998261534366115,0.0021029115900102367,0.00364630314516157,0.9671051769064817,0.7770655768309893,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.0021029115900102367,0.9901111111111112,3.3518465775402353,1.0,"TV(0.4 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101,0.0
texture,120.0,25.0,60.0,0.0,NLM(0.6 sd),nlm,3.465855273634169,0.9928716529681852,2.8990900148673546,0.98015,3.2103227301146853,0.9885555555555555,2.891571251140694,0.9817506944444444,0.2818956565803244,28.60149608579321,14.870097817799076,-0.012721652968185282,0.005663438004985975,True,0.6996849831823777,0.675,0.6324141732645783,red,0.0021902863084481226,0.0028892079677017178,0.002769477613961244,0.9671051769064817,0.554540887878656,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.0028892079677017178,0.9901111111111112,3.3518465775402353,1.0,"NLM(0.6 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101,0.0
texture,120.0,25.0,60.0,0.25,raw,none,3.7547370518688785,0.9960345799373341,3.559362337627403,0.9939631944444445,3.4187374193061153,0.9917388888888888,2.639576723106111,0.9672236111111111,0.059503789592535224,21.54056029906893,33.502314479005165,-0.0020713854928896547,0.0031149108351416345,True,0.8986391703220222,1.0,1.009715254013646,red,0.0018596463345185686,0.001588915110309032,0.003719951291979186,0.9479658065152046,0.8401366406755286,1200,{},33.50001999239478,0.001588915110309032,0.9939631944444445,3.559362337627403,1.0,"raw: input ideal d'=3.75 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20264101,6.0
texture,120.0,25.0,60.0,0.25,gaussian(1.5 px),gaussian,3.7547370518688785,0.9960345799373341,2.6716712141126964,0.9701048611111112,3.3987159194711123,0.9913805555555556,2.9358047122765574,0.9810409722222222,0.354141174334865,31.079478149871186,11.180631987249312,-0.02592971882622297,0.006961112885523125,True,0.5062988789165603,0.9783333333333334,0.8359607457839792,red,0.0018996976826769723,0.003551299154464864,0.0028231771133558486,0.9479658065152046,0.6870225183586067,1200,"{""sigma"": 1.5}",33.50001999239478,0.003551299154464864,0.9939631944444445,3.559362337627403,1.0,"gaussian(1.5 px): input ideal d'=3.75 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20264101,6.0
texture,120.0,25.0,60.0,0.25,TV(0.4 sd),tv,3.7547370518688785,0.9960345799373341,3.2898103709445263,0.9909097222222222,3.3657289112905793,0.9911861111111111,2.9514091967881635,0.9824236111111111,0.35601664193897503,30.701446864403298,11.68143653434397,-0.005124857715111952,0.0038247617439397235,True,0.7676843268717292,0.9541666666666667,0.814499624430232,red,0.0019210862203454977,0.0019510905963880123,0.0027176045553567625,0.9479658065152046,0.6640540862008038,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",33.50001999239478,0.0019510905963880123,0.9939631944444445,3.559362337627403,1.0,"TV(0.4 sd): input ideal d'=3.75 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20264101,6.0
texture,120.0,25.0,60.0,0.25,NLM(0.6 sd),nlm,3.7547370518688785,0.9960345799373341,2.731125406795487,0.9721638888888889,3.1361043172287095,0.9876361111111112,2.926453305206439,0.9830715277777777,0.6063175966266712,36.97124340544502,5.687086463768548,-0.023870691048445192,0.0067151461768322745,True,0.5290835125245148,0.38333333333333336,0.562932089069369,red,0.0022769972984422156,0.0034258036297353262,0.0026667259055091386,0.9479658065152046,0.48416841711687086,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",33.50001999239478,0.0034258036297353262,0.9939631944444445,3.559362337627403,1.0,"NLM(0.6 sd): input ideal d'=3.75 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20264101,6.0
texture,120.0,25.0,60.0,0.5,raw,none,6.154588910664027,0.9999932534459398,6.036522762650504,0.9999430555555555,3.525356541947755,0.9926083333333333,3.1142095030372365,0.9860270833333333,0.18230826160521454,26.948673148151588,17.97879891236136,-5.0197890384295896e-05,0.0003027279894433618,True,0.9620011368257197,0.9966666666666667,1.0069186563272747,green,0.001758731781219619,0.00015410157910110566,0.002421406993183865,0.9808165663495493,0.7521393602186653,1200,{},17.95755117152193,0.00015410157910110566,0.9999430555555555,6.036522762650504,0.9966666666666667,raw: input ideal d'=6.15 meets the floor and the processed task d'=6.04 follows it; no excess false structure or erasure.,True,20266101,6.0
texture,120.0,25.0,60.0,0.5,gaussian(1.5 px),gaussian,6.154588910664027,0.9999932534459398,3.1817452417267833,0.9876277777777778,3.490892950540911,0.9921194444444444,3.146512248517423,0.9868152777777778,0.4011049572435425,32.31040253030055,9.705824263985818,-0.01236547566816204,0.004465038400805755,True,0.2672592261777647,0.9383333333333334,0.8326708593984625,amber,0.0018161574489765776,0.0022777683628757905,0.002351754750877746,0.9808165663495493,0.6481216132273516,1200,"{""sigma"": 1.5}",17.95755117152193,0.0022777683628757905,0.9999430555555555,6.036522762650504,0.9966666666666667,gaussian(1.5 px): task d' fell 47% against the unprocessed input (6.04 -> 3.18) while fidelity improved: fidelity-task discordance.,True,20266101,6.0
