sweep,kv,mas,relative_dose,noise_sd,contrast,denoiser,method,ceiling_d_prime,ceiling_auc,d_prime_ideal,auc_ideal,d_prime_cho,auc_cho,d_prime_npwe,auc_npwe,ssim,psnr,rmse,excess,margin,bound_ok,efficiency,false_structure_rate,contrast_recovery,level,auc_se_cho,auc_se_ideal,auc_se_npwe,estimator_d_prime_ratio,false_structure_mean_amplitude,n_trials,params,pixel_sd,processed_auc_se,raw_estimated_auc,raw_estimated_d_prime,raw_false_structure_rate,reason,saturated,seed
taskbench,120.0,25.0,0.25,60.0,20.0,raw,none,3.465855273634169,0.9928716529681852,3.3757152046042425,0.9923333333333333,3.400993815515637,0.9929916666666667,2.4697020146106063,0.9617840277777778,0.018700430908285555,16.48036186795201,59.988512845651485,-0.0005383196348519581,0.003511494503508834,True,0.94866035700758,1.0,1.0102206115483832,red,0.0017123752699291595,0.0017912574347065213,0.004019450882022134,0.9739919696833131,0.8964321925263232,1200,{},60.0,0.0017912574347065213,0.9923333333333333,3.3757152046042425,1.0,"raw: input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20260101
taskbench,120.0,25.0,0.25,60.0,20.0,gaussian(1.5 px),gaussian,3.465855273634169,0.9928716529681852,2.7721293776733873,0.9761513888888889,3.378680727699278,0.9924722222222222,2.8872506735612733,0.9807375,0.33630464294629747,30.48840957125453,11.966960960905807,-0.016720264079296387,0.006211821936839228,True,0.6397438851074531,0.9841666666666666,0.8371380875664385,red,0.001774903916082726,0.0031690008292944998,0.002845836025203962,0.9739919696833131,0.6963802841179381,1200,"{""sigma"": 1.5}",60.0,0.0031690008292944998,0.9923333333333333,3.3757152046042425,1.0,"gaussian(1.5 px): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20260101
taskbench,120.0,25.0,0.25,60.0,20.0,TV(0.4 sd),tv,3.465855273634169,0.9928716529681852,3.374646313080524,0.9922652777777777,3.395935858693103,0.9929583333333334,2.7403993109060787,0.9755201388888889,0.10949881915523467,23.807274968670235,25.812363727861612,-0.0006063751904075154,0.003527095106746348,True,0.9480596816464044,1.0,0.9148538434657744,red,0.001716455378107207,0.0017992170724144432,0.0032109918294627154,0.9739919696833131,0.7751690267855446,1200,"{""max_num_iter"": 200, ""weight"": 24.0}",60.0,0.0017992170724144432,0.9923333333333333,3.3757152046042425,1.0,"TV(0.4 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20260101
taskbench,120.0,25.0,0.25,60.0,20.0,NLM(0.6 sd),nlm,3.465855273634169,0.9928716529681852,2.875082116470794,0.9799083333333334,3.197968183704489,0.9906138888888889,3.006778814985039,0.9870763888888889,0.2811889373523069,28.591246301448432,14.887732404153237,-0.012963319634851866,0.005698045477370411,True,0.6881445257458162,0.6758333333333333,0.6330096853674749,red,0.0019827098729679462,0.0029068651658224055,0.0023282297140126886,0.9739919696833131,0.5552856629167324,1200,"{""h"": 36.0, ""patch_distance"": 6, ""patch_size"": 5}",60.0,0.0029068651658224055,0.9923333333333333,3.3757152046042425,1.0,"NLM(0.6 sd): input ideal d'=3.47 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20260101
