sweep,kv,mas,correlation_sigma_mm,radius_mm,denoiser,ceiling_d_prime,excess,margin,bound_ok,contrast_recovery,level,benefit,delta_d_cho,delta_d_npwe,delta_d_pw,delta_ssim,divergent,erasure,estimator_d_prime_ratio,excess_response,input_d_pw,processed_d_pw,saturated,seed,stratum,task_degradation
atlas_demo,120.0,12.0,,,gaussian(1.5 px),2.4012149702459653,-0.21480688379419488,0.03417211134948208,True,0.7842649121281252,red,1.2255458490519535,-0.004102272842222643,0.3918029279847888,-0.8337429210671646,0.18855956270891644,True,False,0.7074793760585258,False,1.6988100689320071,0.8650671478648425,False,20260101,below floor,0.49078053886937156
atlas_demo,80.0,12.0,,,gaussian(1.5 px),2.9408758377279614,-0.13893364926751472,0.027544961506929918,True,0.8171398034980007,red,1.5332089564647664,-0.01745694063813641,0.49719234155637304,-1.0360166149083934,0.09839743890164547,True,False,0.8307052099177419,False,2.4430008801218213,1.406984265213428,False,20260101,below floor,0.4240754161565148
atlas_demo,120.0,200.0,,,gaussian(1.5 px),9.802919066391512,2.0788926136106056e-12,6.25e-06,True,0.8239367616213857,green,1.7813089889644163,-0.0537300976946522,1.0481324352071253,-0.733176553757291,0.5627998588337777,True,False,0.9482514723458005,False,9.295632437992472,8.562455884235181,True,20260101,above floor,0.0788732298364877
atlas_demo,120.0,50.0,,,gaussian(1.5 px),4.901459533195756,-0.009279476145966026,0.00679907485903283,True,0.8236070162548284,red,1.6917551467622416,-0.04820709131088741,0.5579570809980998,-1.1337980657641418,0.44182243140174116,True,False,0.9189690396057771,False,4.504289559887485,3.370491494123343,False,20260101,below floor,0.2517151818704265
dose,120.0,100.0,0.0,,NLM(0.6 sd),6.931710547268338,-5.774363767474533e-06,0.00010075525915850293,True,0.6819990076585336,green,1.4797511066990934,-0.862869250680582,0.4551953873309813,-1.024555719368112,0.5132810292246515,True,False,0.995213327945324,False,6.898530722100626,5.8739750027325135,True,20260101,above floor,0.14851796138064188
dose,120.0,100.0,0.0,,TV(0.4 sd),6.931710547268338,4.756362325109009e-07,6.944444444444445e-07,True,0.9157909992887568,green,0.578893395394803,-0.016991656092208096,0.5060029815245493,-0.07289041387025375,0.26511755716110164,True,False,0.995213327945324,False,6.898530722100626,6.825640308230372,True,20260101,above floor,0.010566078025388337
dose,120.0,100.0,0.0,,gaussian(1.5 px),6.931710547268338,-9.132526563870869e-07,4.78635078247818e-05,True,0.832703089294515,green,1.3945225623531217,-0.026158444852972806,0.8455029734790269,-0.5490195888740947,0.5359368514320201,True,False,0.995213327945324,False,6.898530722100626,6.349511133226531,True,20260101,above floor,0.07958500309569061
dose,120.0,12.500000000000002,0.0,,NLM(0.6 sd),2.450729766597878,-0.041451984299542666,0.01163352266467899,True,0.6186727857651273,red,0.6412691439869409,-0.18818885466629487,0.3326116082813877,-0.3086575357055532,0.14664742407933398,True,False,0.9207025672041795,False,2.256393187630366,1.9477356519248128,False,20260101,below floor,0.13679244264591195
dose,120.0,12.500000000000002,0.0,,TV(0.4 sd),2.450729766597878,-0.011769345410653775,0.009318895698092028,True,0.915580330392233,red,0.19353489464542095,0.0009595429307456271,0.2057940868836825,0.012259192238261551,0.042418854191637226,False,False,0.9207025672041795,False,2.256393187630366,2.2686523798686276,False,20260101,below floor,-0.005433092204615297
dose,120.0,12.500000000000002,0.0,,gaussian(1.5 px),2.450729766597878,-0.08075615096620936,0.014079276902309888,True,0.838263041566088,red,0.9271162749415325,-0.011580318023543423,0.3152789842103967,-0.6118372907311358,0.19728685674817573,True,False,0.9207025672041795,False,2.256393187630366,1.6445558968992302,False,20260101,below floor,0.27115721412617766
